Name,Roll No.,Class,Maths,English,Science,Social Science,Hindi,IT
Abhay,1,6-A,4,48,4,27,1,65
Amar,2,6-A,13,79,88,57,15,14
Amber,3,6-A,94,75,82,45,88,21
Aryan,4,6-A,80,16,9,63,36,27
Badal,5,6-A,100,44,4,66,51,28
Dino,6,6-A,53,30,24,58,92,66
Emiway,7,6-A,22,1,34,95,44,49
Geto,8,6-A,34,20,0,35,23,18
Gojo,9,6-A,66,86,34,20,19,77
Ikka,10,6-A,94,55,66,22,75,41
Inumaki,11,6-A,43,90,29,81,6,6
Jogo,12,6-A,38,27,24,36,27,52
Kareem,13,6-A,65,87,9,66,53,70
Karishma,14,6-A,37,11,28,30,63,72
Karma,15,6-A,53,37,40,50,42,10
Krishna,16,6-A,28,18,95,100,95,19
Madan,17,6-A,26,10,20,100,89,8
Madhu,18,6-A,12,72,89,60,24,24
Mahak,19,6-A,60,15,81,29,80,52
Mahoraga,20,6-A,12,21,33,93,25,89
Maki,21,6-A,57,0,31,91,22,7
Mechamaru,22,6-A,89,27,93,79,98,67
Megumi,23,6-A,96,92,16,79,69,7
Mohini,24,6-A,58,93,32,30,77,69
Muhfad,25,6-A,97,74,30,34,68,37
Muskaan,26,6-A,49,18,62,33,20,3
Nobara,27,6-A,84,3,28,83,90,74
Raftarr,28,6-A,33,32,52,91,18,32
Rahul,29,6-A,65,45,43,37,42,63
Rohan,30,6-A,71,85,89,66,78,71
Sahil,31,6-A,28,3,70,13,55,74
Shivam,32,6-A,52,42,20,45,8,43
Shudhanshu,33,6-A,23,19,58,27,33,68
Snoopdog,34,6-A,20,67,78,17,66,13
Sridul,35,6-A,80,26,8,7,92,8
Sukuna,36,6-A,51,98,35,85,76,12
Tengen,37,6-A,53,55,40,59,5,82
Toji,38,6-A,65,32,41,62,83,49
Yuji,39,6-A,66,68,84,66,69,2
